팀,이름,생일,루타,볼넷,사구,안타,타수,타점,홈런,희비,타율,출루율,장타율,OPS
키움,김하성,1995-10-17,283,76,7,177,587,109,20,7,0.3015332197614992,0.3840472673559823,0.4821124361158433,0.8661597034718256
KT,유한준,1981-07-01,222,52,4,159,501,86,14,5,0.31736526946107785,0.3825622775800712,0.4431137724550898,0.825676050035161
한화,김태균,1982-05-29,171,54,5,132,433,62,6,8,0.3048498845265589,0.382,0.3949191685912241,0.7769191685912241
KIA,터커,1990-07-06,171,38,3,111,357,50,9,1,0.3109243697478992,0.3809523809523809,0.4789915966386555,0.8599439775910365
KT,로하스,1990-05-24,276,49,3,168,521,104,24,5,0.3224568138195777,0.3806228373702422,0.5297504798464492,0.9103733172166916
KIA,안치홍,1990-07-02,149,40,1,114,362,49,5,5,0.3149171270718232,0.3799019607843137,0.4116022099447514,0.7915041707290651
LG,이천웅,1988-10-20,211,60,5,175,566,50,2,1,0.30918727915194344,0.3797468354430379,0.37279151943462896,0.752538354877667
롯데,민병헌,1987-03-10,167,42,5,112,369,43,9,3,0.3035230352303523,0.3794749403341289,0.4525745257452575,0.8320494660793863
SK,한동민,1989-08-09,175,57,20,115,432,56,13,0,0.2662037037037037,0.3772102161100197,0.4050925925925926,0.7823028087026123
키움,서건창,1989-08-22,180,54,3,142,475,46,2,5,0.29894736842105263,0.3705772811918063,0.37894736842105264,0.7495246496128589
SK,로맥,1985-09-30,263,73,6,142,515,96,30,6,0.2757281553398058,0.36833333333333335,0.5106796116504855,0.8790129449838189
두산,오재일,1986-10-29,236,56,3,140,480,106,21,4,0.2916666666666667,0.3664825046040516,0.4916666666666666,0.8581491712707182
LG,김현수,1988-01-12,234,55,6,164,547,84,11,9,0.29981718464351004,0.3646677471636953,0.4277879341864717,0.792455681350167
KT,조용호,1989-09-09,67,21,0,55,188,19,0,0,0.2925531914893617,0.3636363636363637,0.35638297872340424,0.7200193423597678
KIA,이창진,1991-03-04,153,57,4,108,400,48,6,5,0.27,0.3626609442060086,0.3825,0.7451609442060085
키움,박동원,1990-04-07,143,35,2,95,327,58,10,1,0.290519877675841,0.3616438356164384,0.43730886850152906,0.7989527041179674
두산,김재환,1988-09-22,217,66,5,142,507,91,15,11,0.28007889546351084,0.3616298811544992,0.4280078895463511,0.7896377707008503
삼성,김헌곤,1988-11-09,159,37,8,122,411,46,5,6,0.29683698296836986,0.36147186147186144,0.3868613138686132,0.7483331753404746
LG,채은성,1990-02-06,213,27,12,154,488,73,13,8,0.3155737704918033,0.36074766355140186,0.4364754098360656,0.7972230733874675
롯데,손아섭,1988-03-18,205,52,1,151,512,63,10,2,0.294921875,0.35978835978835977,0.400390625,0.7601789847883598
KIA,김선빈,1989-12-18,146,43,1,115,394,40,3,4,0.2918781725888325,0.3597285067873303,0.37055837563451777,0.730286882421848
롯데,전준우,1986-02-25,262,46,7,164,545,83,22,7,0.30091743119266057,0.3586776859504132,0.4807339449541285,0.8394116309045416
NC,이명기,1987-12-26,172,48,4,143,488,36,2,4,0.2930327868852459,0.3584558823529412,0.3524590163934426,0.7109148987463838
LG,이형종,1989-06-07,189,44,11,123,432,65,13,10,0.2847222222222222,0.35814889336016104,0.4375,0.7956488933601609
두산,정수빈,1990-10-07,151,61,6,122,456,41,0,5,0.2675438596491228,0.3579545454545455,0.33114035087719296,0.6890948963317385
삼성,김상수,1990-03-23,166,50,15,127,468,38,5,4,0.2713675213675213,0.3575418994413408,0.3547008547008547,0.7122427541421955
KT,황재균,1987-07-28,209,52,2,127,448,67,20,5,0.28348214285714285,0.35700197238658776,0.4665178571428572,0.8235198295294449
NC,권희동,1990-12-30,124,50,7,89,349,41,6,3,0.2550143266475645,0.3569682151589242,0.3553008595988539,0.7122690747577779
롯데,아수아헤,1991-11-02,60,26,1,41,163,21,2,1,0.25153374233128833,0.3560209424083769,0.3680981595092024,0.7241191019175794
NC,모창민,1985-05-08,159,31,3,104,343,55,10,11,0.3032069970845481,0.3556701030927835,0.4635568513119533,0.8192269544047368
롯데,이대호,1982-06-21,211,47,10,138,485,88,16,7,0.2845360824742268,0.3551912568306011,0.4350515463917526,0.7902428032223536
삼성,박계범,1996-01-11,65,22,5,43,168,25,4,3,0.2559523809523809,0.35353535353535354,0.3869047619047619,0.7404401154401155
두산,허경민,1990-08-26,182,34,18,142,487,62,4,10,0.2915811088295688,0.3533697632058288,0.3737166324435318,0.7270863956493606
두산,박세혁,1990-01-09,180,44,7,128,453,66,4,5,0.282560706401766,0.3516699410609037,0.3973509933774834,0.7490209344383871
롯데,윌슨,1990-07-29,100,31,5,58,231,37,9,1,0.2510822510822511,0.35074626865671643,0.4329004329004329,0.7836467015571493
키움,박정음,1989-04-15,21,12,5,17,82,7,0,0,0.2073170731707317,0.3434343434343434,0.25609756097560976,0.5995319044099532
한화,이성열,1984-07-13,192,48,9,106,414,85,21,4,0.2560386473429952,0.3431578947368421,0.463768115942029,0.8069260106788712
SK,고종욱,1989-01-11,207,19,1,159,501,56,3,2,0.31736526946107785,0.3422562141491396,0.4131736526946108,0.7554298668437504
KT,김민혁,1995-11-21,143,32,13,131,466,32,0,5,0.2811158798283262,0.34108527131782945,0.30686695278969955,0.6479522241075291
한화,강경학,1992-08-11,31,15,3,27,113,12,0,1,0.23893805309734514,0.3409090909090909,0.2743362831858407,0.6152453740949315
SK,노수광,1990-08-06,126,46,2,102,393,28,2,0,0.2595419847328244,0.3401360544217687,0.32061068702290074,0.6607467414446695
KIA,김주찬,1981-03-25,126,17,5,101,337,32,3,3,0.2997032640949555,0.3397790055248619,0.3738872403560831,0.7136662458809448
한화,호잉,1989-05-18,219,38,5,135,476,73,18,5,0.28361344537815125,0.33969465648854963,0.4600840336134454,0.799778690101995
SK,정의윤,1986-07-25,170,30,6,107,384,60,13,2,0.2786458333333333,0.33886255924170616,0.4427083333333333,0.7815708925750395
LG,오지환,1990-03-12,180,58,7,120,477,55,9,5,0.2515723270440252,0.3382084095063985,0.37735849056603776,0.7155669000724363
KT,박경수,1984-03-31,158,55,4,104,421,65,10,6,0.2470308788598575,0.33539094650205764,0.3752969121140142,0.7106878586160719
한화,정근우,1982-10-02,98,20,4,77,277,30,3,1,0.2779783393501805,0.3344370860927152,0.35379061371841153,0.6882276998111267
LG,유강남,1992-07-15,192,31,13,118,436,51,17,6,0.2706422018348624,0.3333333333333333,0.4403669724770641,0.7737003058103975
삼성,박한이,1979-01-28,28,9,0,19,74,13,2,1,0.25675675675675674,0.3333333333333333,0.3783783783783784,0.7117117117117118
롯데,김동한,1988-06-24,26,6,0,22,78,2,0,0,0.28205128205128205,0.3333333333333333,0.3333333333333333,0.6666666666666666
LG,페게로,1987-02-22,104,13,2,61,213,46,11,1,0.2863849765258216,0.3318777292576419,0.4882629107981221,0.820140640055764
LG,조셉,1991-07-16,84,14,4,54,197,36,9,2,0.27411167512690354,0.3317972350230415,0.4263959390862944,0.758193174109336
삼성,이학주,1990-11-04,142,32,10,101,385,36,7,4,0.2623376623376623,0.33178654292343385,0.3688311688311688,0.7006177117546026
두산,최주환,1988-02-28,105,29,1,80,292,46,4,10,0.273972602739726,0.3313253012048193,0.3595890410958904,0.6909143423007097
LG,박용택,1979-04-21,69,18,0,57,206,23,1,3,0.2766990291262136,0.3303964757709251,0.33495145631067963,0.6653479320816047
SK,최항,1994-01-03,36,17,2,31,132,14,0,1,0.2348484848484849,0.32894736842105265,0.2727272727272727,0.6016746411483254
KT,심우준,1995-04-28,133,23,6,109,391,28,3,1,0.2787723785166241,0.32779097387173395,0.340153452685422,0.6679444265571559
삼성,윌리엄슨,1990-07-15,63,13,0,42,154,15,4,1,0.2727272727272727,0.3273809523809524,0.4090909090909091,0.7364718614718615
삼성,구자욱,1993-02-12,211,38,7,127,475,71,15,6,0.2673684210526316,0.3269961977186312,0.4442105263157895,0.7712067240344207
삼성,이원석,1986-10-21,174,43,8,97,395,76,19,7,0.24556962025316456,0.32671081677704195,0.4405063291139241,0.7672171458909659
키움,이지영,1986-02-27,109,19,1,98,341,43,1,1,0.2873900293255132,0.3259668508287293,0.3196480938416422,0.6456149446703715
KIA,황윤호,1993-09-22,49,5,0,37,123,9,1,1,0.3008130081300813,0.32558139534883723,0.3983739837398374,0.7239553790886746
KT,장성우,1990-01-17,124,35,2,96,366,41,7,6,0.26229508196721313,0.3251833740831296,0.33879781420765026,0.6639811882907798
NC,노진혁,1989-07-15,162,31,2,93,352,44,14,3,0.2642045454545455,0.3247422680412371,0.4602272727272727,0.7849695407685098
롯데,정훈,1987-07-18,55,23,5,43,190,17,2,1,0.22631578947368425,0.3242009132420091,0.2894736842105263,0.6136745974525355
SK,김강민,1982-09-13,154,32,5,115,430,49,7,3,0.26744186046511625,0.32340425531914896,0.3581395348837209,0.6815437902028698
SK,이재원,1988-02-24,177,34,9,122,461,75,12,7,0.2646420824295011,0.32289628180039137,0.3839479392624729,0.7068442210628643
LG,신민재,1996-01-21,22,8,3,19,81,5,0,1,0.2345679012345679,0.3225806451612903,0.2716049382716049,0.5941855834328953
NC,김찬형,1997-12-29,50,6,4,39,141,12,1,1,0.2765957446808511,0.3223684210526316,0.3546099290780142,0.6769783501306458
LG,김민성,1988-12-17,138,33,4,97,378,51,8,1,0.2566137566137566,0.32211538461538464,0.36507936507936506,0.6871947496947497
두산,류지혁,1994-01-13,79,24,7,69,278,34,0,3,0.2482014388489209,0.3205128205128205,0.2841726618705036,0.6046854823833241
키움,김규민,1993-01-26,82,24,4,61,248,29,3,2,0.2459677419354839,0.32014388489208634,0.33064516129032256,0.6507890461824088
한화,장진혁,1993-09-30,109,26,5,80,315,24,1,1,0.25396825396825395,0.3198847262247839,0.346031746031746,0.6659164722565298
KT,강민국,1992-01-10,26,6,0,24,88,7,0,0,0.2727272727272727,0.3191489361702128,0.2954545454545455,0.6146034816247583
한화,김민하,1989-02-25,44,9,3,32,125,14,2,1,0.256,0.3188405797101449,0.35200000000000004,0.6708405797101449
삼성,박해민,1990-02-24,166,58,2,121,506,44,5,3,0.2391304347826087,0.3181019332161687,0.32806324110671936,0.646165174322888
NC,손시헌,1980-10-19,48,5,5,36,135,10,2,0,0.26666666666666666,0.31724137931034485,0.3555555555555556,0.6727969348659004
한화,정은원,2000-01-17,211,48,0,148,564,57,8,6,0.2624113475177305,0.31715210355987056,0.374113475177305,0.6912655787371755
KT,오승택,1991-11-18,124,31,4,88,352,35,6,2,0.25,0.3161953727506427,0.3522727272727273,0.66846810002337
롯데,허일,1992-11-20,45,12,1,38,149,17,1,0,0.2550335570469799,0.3148148148148148,0.30201342281879195,0.6168282376336067
삼성,강민호,1985-08-18,140,33,9,81,346,45,13,3,0.23410404624277456,0.3145780051150895,0.4046242774566474,0.7192022825717369
롯데,신본기,1989-03-21,108,24,8,96,375,26,1,1,0.256,0.3137254901960784,0.28800000000000003,0.6017254901960785
KIA,류승현,1997-07-01,48,9,4,38,150,14,0,0,0.2533333333333333,0.3128834355828221,0.32,0.6328834355828221
키움,허정협,1990-02-17,17,7,1,16,68,8,0,1,0.2352941176470588,0.3116883116883117,0.25,0.5616883116883117
키움,김혜성,1999-01-27,131,30,2,100,386,34,0,6,0.2590673575129533,0.3113207547169811,0.3393782383419689,0.65069899305895
키움,장영석,1990-05-14,130,27,9,94,377,62,7,5,0.2493368700265252,0.31100478468899523,0.3448275862068966,0.6558323708958917
NC,이원재,1989-05-20,101,20,1,66,256,36,8,3,0.2578125,0.3107142857142857,0.39453125,0.7052455357142857
NC,베탄코트,1991-09-02,82,18,1,50,203,29,8,2,0.24630541871921185,0.3080357142857143,0.4039408866995074,0.7119766009852218
한화,오선진,1989-07-07,113,38,10,88,392,36,3,3,0.22448979591836726,0.3069977426636569,0.2882653061224489,0.5952630487861059
NC,김태진,1995-10-07,143,16,1,104,376,46,5,3,0.2765957446808511,0.3055555555555556,0.3803191489361702,0.6858747044917257
키움,임병욱,1995-09-30,119,23,11,92,379,41,0,0,0.2427440633245383,0.3050847457627119,0.3139841688654353,0.6190689146281472
SK,김성현,1987-03-09,130,33,3,107,431,34,1,3,0.2482598607888631,0.30425531914893617,0.30162412993039445,0.6058794490793307
NC,김성욱,1993-05-01,112,29,3,67,290,36,9,5,0.2310344827586207,0.3027522935779817,0.3862068965517241,0.6889591901297059
SK,배영섭,1986-06-27,18,7,2,17,76,7,0,1,0.2236842105263158,0.3023255813953488,0.2368421052631579,0.5391676866585067
롯데,채태인,1982-10-11,68,11,2,42,167,29,5,2,0.25149700598802394,0.3021978021978022,0.40718562874251496,0.7093834309403171
LG,전민수,1989-03-18,30,9,0,23,97,8,0,0,0.2371134020618557,0.3018867924528302,0.30927835051546393,0.6111651429682939
한화,김회성,1985-12-04,37,11,0,24,104,18,3,1,0.2307692307692308,0.3017241379310345,0.3557692307692308,0.6574933687002653
KIA,나지완,1985-05-19,47,19,3,24,129,17,6,2,0.18604651162790692,0.3006535947712418,0.3643410852713178,0.6649946800425597
KIA,박찬호,1995-06-05,160,26,4,131,504,49,2,2,0.2599206349206349,0.3003731343283582,0.31746031746031744,0.6178334517886757
KIA,한승택,1994-06-21,76,27,1,56,251,27,3,2,0.2231075697211156,0.298932384341637,0.30278884462151395,0.601721228963151
한화,송광민,1983-06-24,162,21,3,120,454,51,7,5,0.2643171806167401,0.2981366459627329,0.3568281938325991,0.654964839795332
NC,강진성,1993-10-19,36,3,4,24,97,14,2,0,0.24742268041237114,0.2980769230769231,0.3711340206185567,0.6692109436954798
LG,정주현,1990-10-13,126,31,2,93,389,28,2,1,0.2390745501285347,0.2978723404255319,0.32390745501285345,0.6217797954383854
NC,스몰린스키,1989-02-09,90,17,5,47,208,42,9,2,0.2259615384615385,0.2974137931034483,0.4326923076923077,0.730106100795756
삼성,최영진,1988-05-10,95,14,2,63,251,20,5,0,0.25099601593625503,0.2958801498127341,0.3784860557768924,0.6743662055896265
한화,최진행,1985-08-17,51,9,2,27,117,19,6,1,0.2307692307692308,0.29457364341085274,0.4358974358974359,0.7304710793082887
키움,송성문,1996-08-29,119,21,1,82,331,40,3,4,0.2477341389728097,0.2913165266106443,0.3595166163141994,0.6508331429248437
KT,박승욱,1992-12-04,72,14,2,52,223,15,3,0,0.23318385650224216,0.2845188284518829,0.32286995515695066,0.6073887836088335
한화,지성준,1994-04-10,38,5,0,26,104,11,2,0,0.25,0.28440366972477066,0.36538461538461536,0.649788285109386
롯데,고승민,2000-08-11,31,4,0,21,83,6,0,1,0.2530120481927711,0.2840909090909091,0.3734939759036144,0.6575848849945236
KIA,이우성,1994-07-17,55,12,2,33,151,22,6,2,0.2185430463576159,0.281437125748503,0.3642384105960265,0.6456755363445295
롯데,강로한,1992-05-13,108,13,3,69,288,25,4,1,0.2395833333333333,0.2786885245901639,0.375,0.6536885245901639
롯데,김문호,1987-06-22,32,4,0,25,103,4,0,1,0.2427184466019417,0.2685185185185185,0.3106796116504854,0.5791981301690039
삼성,김도환,2000-04-14,31,8,0,19,93,7,2,1,0.2043010752688172,0.2647058823529412,0.3333333333333333,0.5980392156862745
